CoinName,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply
TittieCoin,PHI1612,PoS,1622326490.46336,2300000000
TorCoin,X11,PoW/PoS,1431851.00002479,10000000
TerraCoin,SHA-256,PoW,22935396.0,42000000
Umbrella,SHA-256,PoW,0.0,2625000
UnbreakableCoin,SHA-256,PoW,2278150.0,80000000
Unobtanium,SHA-256,PoW,200911.79151896,250000
UroCoin,X11,PoW,1207310.0,0
UnitaryStatus Dollar,Scrypt,PoW/PoS,1098952592.6,1600000000
UltraCoin,Scrypt,PoW/PoS,50235211.141939,100000000
Utility Coin,X13,PoW/PoS,0.0,0
ViaCoin,Scrypt,PoW,23150892.1679687,23000000
VootCoin,X11,PoW,0.0,0
VeriCoin,Scrypt,PoST,32021108.4136696,0
Vertcoin,Lyra2REv2,PoW,51173723.8166347,84000000
WorldCoin,Scrypt,PoW,119606941.0,265420800
SocialXbotCoin,Scrypt,PoW/PoS,0.0,2000000
X11 Coin,X11,PoW/PoS,6950831.0970606,5500000
Crypti,Multiple,PoS,100000000.0,0
JouleCoin,SHA-256,PoW,39195739.362088,45000000
StealthCoin,X13,PoW/PoS,33093725.4123502,0
XXXCoin,Scrypt,PoW/PoS,0.0,50000000
ZCC Coin,Scrypt,PoW/PoS,147990237.978331,1000000000
ByteCoin,CryptoNight,PoW,184066828814.0,184467440735
DigitalNote ,CryptoNight,PoW,6906587610.38292,10000000000
BurstCoin,Shabal256,PoC,1813033920.0,2158812800
StorjCoin,Counterparty,PoS,51173144.0,500000000
MonaCoin,Scrypt,PoW,68194674.8711679,105120000
Neutron,SHA-256,PoW/PoS,39121694.0,68000000
Sling Coin,SHA-256,PoW,0.0,1000000
KryptCoin,Scrypt,PoS,0.0,17000000
FairCoin,Groestl,PoW/PoS,53193831.0,0
Gulden,Scrypt,PoW,415032420.0,1680000000
RubyCoin,Scrypt,PoS,27184490.3918338,0
PesetaCoin,Scrypt,PoW,137517654.41397,166386000
Kore,X13,PoW/PoS,2022464.886973,12000000
Wild Beast Coin,Scrypt,PoW,181919.2435974,2628000
Dnotes,Scrypt,PoS,174646113.934655,500000000
Flo,Scrypt,PoW,152270664.860648,160000000
MaieutiCoin,SHA-256,PoS,0.0,2014
8BIT Coin,Scrypt,PoW/PoS,1467841.0,0
Sativa Coin,X13,PoW/PoS,7096834.0,10000000
AeroMe,X13,PoW/PoS,0.0,12000000
ArtByte,Scrypt,PoW,792537250.0,1000000000
MasterTraderCoin,X11,PoW/PoS,0.0,10110000
BitCredit,Momentum,PoW,0.0,210000000
Folding Coin,Stanford Folding,PoW,719416990.0,1000000000
Ucoin,X11,PoS,2689812.0,20000000
Unitus,Multiple,PoW,65113302.0,0
CypherPunkCoin,QuBit,PoW,6365285.0,0
MaryJane Coin,X15,PoW/PoS,0.0,0
OmniCron,Scrypt,PoW,10140044.4430293,3371337
CyberCoin,Scrypt,PoW/PoS,0.0,0
Vtorrent,Scrypt,PoW/PoS,11604722.0,20000000
GreenCoin,Scrypt,PoW,4610340640.89,10000000000
Unattanium,SHA-256,PoW,0.0,0
Cryptonite,M7 POW,PoW,708506520.0,1840000000
Gridmaster,Scrypt,PoW,0.0,84000000
ConSpiracy Coin ,X11,PoW,0.0,33000000
MasterCoin,Scrypt,PoW,619478.0,619478
SoonCoin,SHA-256,PoW,12462620.0,21000000
1Credit,Scrypt,PoW,88213.0,92000000000
ViorCoin,Scrypt,PoW/PoS,0.0,0
IslaCoin,X11,PoW/PoS,1513704.0,0
Quicksilver coin,X11,PoW,0.0,33000000
Nexus,SHA3,PoW/nPoS,63657220.0,78000000
MarsCoin ,X11,PoW,32221574.820996,33000000
Singular,Scrypt,PoW/PoS,0.0,0
Crypto,Lyra2RE,PoW,13742738.0,65789100
Anarchists Prime,SHA-256,PoW,14747200.0002,53760000
Droidz,QUAIT,PoW/PoS,8568038.35935056,5060000
BowsCoin,X11,PoW,15863837.5,21000000
CryptoCircuits,vDPOS,PoS,0.0,0
Squall Coin,X11,PoS/PoW,329200.01639,0
Milllionaire Coin,X11,PoW/PoS,0.0,0
Song Coin,Scrypt,PoW,32565300.0,210240000
BitZeny,Scrypt,PoW,75614500.0,250000000
Diggits,Scrypt,PoS,100000000.0,100000000
Expanse,Ethash,PoW,10495278.0,16906397
MapCoin,X11,PoS,0.0,2228921.184
Paycon,X13,PoW/PoS,23042604.0,50000000
Siacoin,Blake2b,PoW,33098296530.0,0
Emercoin,SHA-256,PoW/PoS,43059794.804778,1000000000
BlitzCoin,X13,PoS,0.0,3852156
EverGreenCoin,X15,PoW/PoS,13530556.4180753,26298000
MindCoin,X11,PoW,15867695.0,16000000
I0coin,SHA-256,PoW,20997476.8650231,21000000
Decred,BLAKE256,PoW/PoS,10365046.9281661,21000000
DogeCoinDark,Scrypt,PoW,0.0,16500000000
Revolution VR,Scrypt,PoW,210000000.0,210000000
HOdlcoin,1GB AES Pattern Search,PoW,11448949.0,81962100
EDRCoin,SHA-256,PoW/PoS,3669691.84494672,22000000
Hitcoin,X11,PoW/PoS,10996318099.0,26550000000
Gamecredits,Scrypt,PoW,69836100.0,84000000
Dashcoin,CryptoNight,PoW,0.0,18446744
DubaiCoin,SHA-256,PoW/PoS,5129014.0,10500000
BiosCrypto,Quark,PoW/PoS,0.0,20190463.54969237
CarpeDiemCoin,SHA-256,PoW,21739971929.0,21626280000 
PWR Coin,NIST5,PoW/PoS,10069449031.9252,0
TrumpCoin,Blake,PoS,0.0,12000000
BillaryCoin,Scrypt,PoW/PoS,8998743.2411911,42000000
EthereumScrypt,Scrypt,PoW/PoS,0.0,4200000
Phalanx,SHA-256,PoW,0.0,15000000
SunShotCoin,X11,PoW,0.0,2250000000
GPU Coin,Scrypt,PoS,40477042.0,221052632
HempCoin,Scrypt-n,PoW,0.0,5000000000
Adzcoin,X11,PoW,45110324.0,84000000
VirtaCoin,Scrypt,PoW,0.0,21000000000
SoilCoin,Dagger,PoW,5702048.0,30000000
YoCoin,Scrypt,PoW,636462.55983338,168351300
Universal Currency,SHA-256,PoW/PoS,0.0,210000000
AEON,CryptoNight-Lite,PoW,0.0,18400000
SibCoin,X11GOST,PoW,17263355.0,24000000
EuropeCoin,X11,PoW/PoS,10407269.7881868,384000000
Anti Bitcoin,SHA-256,PoW,0.0,42000000
ZeitCoin,Scrypt,PoS,36971236046.8073, 99000000000
SwingCoin,SHA-256,PoW/PoS,4377081.60953993,40000000
SafeExchangeCoin,Scrypt,PoC,2147483647.0,2147483647
Nebuchadnezzar,PoS,PoS,20000000.0,20000000
Francs,Scrypt,PoW,6570807.65677618,20000000
BolivarCoin,X11,PoW,13654082.4987998,25000000
GIZMOcoin,X11,PoW/PoS,0.0,100000
SecretCoin,X11,PoW/PoS,0.0,21000000
Ratecoin,X11,PoW/PoS,134554941.15119,75000000
Digital Bullion Gold,PoS,PoS,0.0,15000000
Revenu,SHA-256,PoW/PoS,1195525.0,222725000
Clinton,SHA-256,PoW,0.0,2421227
Clockcoin,SHA-256,PoW/PoS,16662820.0,525000000
VIP Tokens,NIST5,PoW/PoS,83450403.0,90000000
OrlyCoin,X15,PoW/PoS,0.0,36000000
BitSend,X11,PoW/PoS,24387724.5010828,139000000
16BitCoin,NIST5,PoW/PoS,0.0,16000000
ChessCoin,Scrypt,PoW/PoS,0.0,74666667
ReeCoin,Scrypt,PoW/PoS,0.0,350000000
Omni,Scrypt,PoW,616448.0,616448
Let it Ride,POS 3.0,PoS,38589808.6658096,33500000
PutinCoin,Scrypt,PoW/PoS,813092338.575672,2000000000
iBankCoin,Scrypt,PoW/PoS,4526324.0,44333333
Frankywillcoin,Scrypt,PoW/PoS,100000000.0,100000000
MudraCoin,X13,PoS,5000000.0,200000000
PizzaCoin,X11,PoW,1377917.0,25000000
Lutetium Coin,X11,PoS,657000000.0,657000000
Komodo,Equihash,dPoW/PoW,115898131.0,200000000
GoldBlocks,X11,PoW/PoS,15563873.0,50000000
WayCoin,X11,PoS,0.0,100000000
CarterCoin,Scrypt,PoW/PoS,43165500.0,90000000
Karbo,CryptoNight,PoW,7822432.72439746,10000000
BitTokens,SHA-256,PoW/PoS,595429.0,21000000
ZayedCoin,SHA-256,PoW,6243840.0,9736000
MustangCoin,X11,PoW/PoS,657636.34549789,3000000
ZoneCoin,Scrypt,PoW/PoS,2581970.0,21000000
Circuits of Value,Multiple,PoW,1000000000.0,1200000000
RootCoin,Scrypt,PoW/PoS,1939889.0,0
DopeCoin,Scrypt,PoW,116845228.0,200000000
PROUD Money,X11,PoW/PoS,0.0,10000000000
BitCurrency,Scrypt,PoS,169598616.0,0
DollarCoin,SHA-256,PoW,9106714.0,10638298
Swiscoin,Scrypt,PoW/PoW,665200057.0,3100000000
Shilling,Scrypt,PoW,11119200.0,30000000
BuzzCoin,SHA-256D,PoW/PoS,19577787259.0,20000000000
Opair,PoS,PoS,74033806.7949683,74000000
PesoBit,Scrypt,PoW/PoS,33522957.0,0
GBR Coin,Scrypt,PoW,0.0,87500000
Halloween Coin,X11,PoW/PoS,264678458.288619,1500000000
FujiCoin,Scrypt-n,PoW,0.0,10000000
ZCoin,Lyra2Z,PoW,7568281.24956067,21400000
LeaCoin,SHA-256,PoW,0.0,2000000000
CoffeeCoin,PoS,PoS,148716816.0,39999898
RoyalCoin,X13,PoS,2500124.0,2500124
Zurcoin,Quark,PoW,0.0,126000000
GanjaCoin V2,X14,PoW/PoS,100000000.0,100000000
TeamUP,PoS,PoS,17818682.1654,301000000
LanaCoin,SHA-256D,PoW/PoS,1082162635.53683,7506000000
Elementrem,Ethash,PoW,26205539.0,26205539
CashOut,SHA-256,PoW,0.0,100000000
ZClassic,Equihash,PoW,5613550.0,21000000
ARK,DPoS,DPoS,108202084.0,125000000
InsaneCoin,X11,PoW/PoS,18342813.0,30000000
LuckChain,Scrypt,PoW/PoS,0.0,1000000000
KiloCoin,Scrypt,PoW,196297971.0,10000000000
Hush,Equihash,PoW,0.0,21000000
ArtexCoin,X11,PoW,824000000.0,500000000
EmberCoin,X13,PoW/PoS,92192822723.0,850000000
XenixCoin,X11,PoW/PoS,3853326.77707314,3853326.77707314
FreeCoin,PoS,PoS,50000000.0,50000000
NPCcoin,SHA-256D,PoW/PoS,0.0,7000000000
PLNCoin,Scrypt,PoW/PoS,17089600.0,38540000 
Icobid,Scrypt,PoW/PoS,0.0,200000000 
AquariusCoin,Scrypt,PoW/PoS,2449577.41533168,42000000
Kurrent,X11,PoW,61364813.0,228000000
Creatio,PoS,PoS,20000000.0,20000000
Eternity,X11,PoW/PoS,6069482.07721352,60000000
Eurocoin,SHA-256,PoW/PoS,12416554.0,20000000
BitcoinFast,Scrypt,PoW/PoS,20244023.640728,33000000
Stakenet,X11,TPoS,75590369.0,76500000
BitConnect Coin,Scrypt,PoW/PoS,11080722.3769581,28000000
MoneyCoin,Scrypt,PoW/PoS,10914418.0,650659833
Enigma,X11,PoW/PoS,814671.0,5000000
Cannabis Industry Coin,CryptoNight,PoW,978145.0,21000000
Russiacoin,Scrypt,PoW/PoS,8377873.0,144000000
PandaCoin,Scrypt,PoS,33813143821.8337,32514916898
GameUnits,Scrypt,PoW/PoS,3472983.0,13000000
GAKHcoin,Scrypt,PoW/PoS,3315789.0,3315789
Allsafe,Quark,PoS,10517772.7391666,15000000
LiteCreed,QuBit,PoW/PoS,30227750.0,78835200
OsmiumCoin,Scrypt,PoW,894026.0,2714286
Bikercoins,CryptoNight,PoW,9357088.0,25000000
NeptuneClassic,X11,PoW/PoS,0.0,250000000
HexxCoin,Lyra2RE,PoW,1876146.443596,9999999
GoldenBird,X13,PoW/PoS,0.0,450000000
Ride My Car,PoS,PoS,0.0,100000000
Klingon Empire Darsek,Scrypt,PoW/PoS,23965372.0,500000000
Internet of People,SHA-256,PoW/PoS,2526078.47525448,21000000
KushCoin,X11,PoW/PoS,5659096.95728771,9354000
Eryllium,X11,PoW/PoS,0.0,100000000
MarxCoin,X11,PoW,0.0,100640000
Printerium,Scrypt,PoW/PoS,11821728.0,20000000
PacCoin,X11,PoW,536982074.0,100000000000
Impeach,Scrypt,PoW/PoS,308179.0,21933333
Solarflarecoin,Scrypt,PoW,0.0,20000000
Citadel,CryptoNight-V7,PoW,10969318.522954,185000000
Zilbercoin,Scrypt,PoS,2922613.96424908,55000000
FirstCoin,Scrypt,PoW/PoS ,110000000.0,110000000
CreativeChain,Keccak,PoW,0.0,115000000
BeaverCoin,Scrypt,PoW,3115258.0,3360000
FindCoin,X13,PoS,14524851.4827,14524851.4827
VaultCoin,X11,PoW,30385540.0,1000000000
Zero,Equihash,PoW,6921653.89980891,17000000
OpenChat,Scrypt,PoW/PoS,1000000000.0,1000000000
Canada eCoin,Scrypt,PoW,99843408.3158479,100000000 
Zoin,Lyra2RE,PoW,18545757.5,21000000
Musicoin,Ethash,PoW,0.0,454898394
BnrtxCoin,X11,PoW,0.0,210000000
RenosCoin,Scrypt,PoS,36050365.0,34426423
DubaiCoin,Dagger-Hashimoto,PoW,2232901.0,2232901
VirtacoinPlus,X11,PoW/PoS,13162749.0858027,100000000
TajCoin,Blake2S,PoW/PoS,12184195.9258495,36900000
Impact,X11,PoW/PoS,110630387.850471,110000000
EB3coin,Scrypt,PoW,64096052.0,4000000000
Universe,Scrypt,PoS,0.0,112000000
Atmos,PoS,PoS,111135836.889,110290030
HappyCoin,X11,PoW/PoS,21521322.0099142,100000000
Coinonat,NIST5,PoW,10123200.0,48252000
MacronCoin,PoS,PoS,401421401.0,400000000
Condensate,X11,PoW/PoS,121665451.643876,500000000
Independent Money System,Scrypt,PoW/PoS,5368934.0,21212121
ArgusCoin,Scrypt,PoW/PoS,1148324.0,28600000
LomoCoin,Scrypt,PoW/PoS,500000.0,1000000000
Bitcoin Scrypt,Scrypt,PoW,0.0,21000000
ProCurrency,SHA-256,PoS,100545745.0,75000000000
GoldReserve,X11,PoW/PoS,17171382.0,40000000
BenjiRolls,Scrypt,PoW,20276099.146524,35520400
ParallelCoin,Scrypt,PoW,0.0,1000000
GrowthCoin,Scrypt,PoS,295135466.361878,2000000000
ILCoin,SHA-256,PoW,1317747500.0,2500000000
Phreak,PoS,PoS,11390225.9742772,30000000
Degas Coin,Scrypt,PoW/PoS,21358764.0,105000000
ZSEcoin,X11,PoW/PoS,0.0,2093500000
HTML5 Coin,X15,PoW/PoS,40659020000.0,90000000000
Ultimate Secure Cash,SHA-256,PoS,10343113.0,200084200
EquiTrader,Scrypt,PoW,13673406.4325268,72000000
QTUM,POS 3.0,PoS,100000000.0,100000000
Quantum Resistant Ledger,CryptoNight-V7,PoW,69036016.8340164,105000000
Espers,536,PoW/PoS,22801882871.0,50000000000
Dynamic,Argon2d,PoW,19784224.6512734,0
Nano,Blake2b,PoW,133248297.0,340282367
ChanCoin,Cloverhash,PoW,18407259.0885883,30000000
Dinastycoin,CryptoNight,PoW,1809467143.0,2000000000
Denarius,NIST5,PoW/PoS,4171382.0,10000000
DigitalPrice,X11,PoW,35138975.0,100000000
Virta Unique Coin,NIST5,PoW/PoS,62942075.0,120000000
Bitcoin Planet,Skein,PoW/PoS,6804362.0,100000000
Unify,Scrypt,PoW,18133195.0,19276800
BritCoin,X13,PoW/PoS,21268092.0,30000000
SocialCoin,Scrypt,PoW,5167775.0, 75000000
Octanox,X11,PoW/PoS,0.0,7905634
ArcticCoin,X11,PoW,26042364.3735553,60000000
DAS,X11,PoW,2622886.0,18900000
Linda,Scrypt,PoW/PoS,9044930943.24243,50000000000
LeviarCoin,CryptoNight,PoW,14161803.0,54000000
DeepOnion,X13,PoW/PoS,21917018.0492836,18898187.6216583
Bitcore,Time Travel,PoW,17801865.1605478,21000000
gCn Coin,Scrypt,PoW,163055097500.0,200000000000
SmartCash,Keccak,PoW,2241009149.22257,5000000000
Signatum,SkunkHash v2 Raptor,PoS,107972766.0,137500000
Onix,X11,PoW,122475638.389743,1100000000
Cream,Skein,PoW/PoS,47331802.4774238,100000000
Bitcoin Cash,SHA-256,PoW,17995589.6469082,21000000
Monoeci,X11,PoW/PoS,12569262.5359307,9507271
CampusCoin,Scrypt,PoW,0.0,1010000000
Draftcoin,Scrypt,PoS,18663297.3489799,17405891.19707116
Vechain,VeChainThor Authority,Proof of Authority,55454734800.0,86712634466
Sojourn Coin,Scrypt,PoW,485214.0,10500000000
Stakecoin,PoS,PoS,4000000.0,61599965
NewYorkCoin,Scrypt,PoW,143006669741.687,0
LiteBitcoin,Scrypt,PoW,0.0,1000000000
FrazCoin,Scrypt,PoW,9704042.0,20000000
Kronecoin,Scrypt,PoW,17453749.4042601,84000000
AdCoin,Scrypt,PoW,32646731.063036,100000000
Linx,Scrypt,PoW,33716526.0,100000000
CoinonatX,Scrypt,PoW/PoS,19539588.0,48252000
Ethereum Dark,Scrypt,PoW/PoS,4200000.0,4200000
Sumokoin,CryptoNight,PoW,8946653.0,88888888
Obsidian,SHA-512,PoS,25000000.0,91388946
Cardano,Ouroboros,PoS,25927070538.0,45000000000
Regalcoin,X11,PoW/PoS,7262402.04264803,27000000
BitcoinZ,Equihash,PoW,5211553258.01514,21000000000
TrezarCoin,NeoScrypt,PoW/PoS,182638400.0,400000000
Elements,X11,PoW,2702855668.85288,1800000000
TerraNovaCoin,Scrypt,PoW/PoS,1140734.91680375,15733333
VIVO Coin,NeoScrypt,PoW,4165967.57499639,27000000
Rupee,Lyra2REv2,PoS,24000000.0,24000000
Bitcoin Gold,Equihash,PoW,17202361.088994,21000000
WomenCoin,Scrypt,PoW/PoS,48459472454.0,25000000000
Theresa May Coin,SHA-256,PoW/PoS,92050800.0,100000000
NamoCoin,NIST5,PoW/PoS,560563220.0,1200000000
LUXCoin,PHI1612,PoW/PoS,8305775.31777569,60000000
Pirl,Dagger,PoW,33986980.0,156306732.71
Xios,Scrypt,PoW/PoS,2149688.0,21000000
Bitcloud 2.0,Quark,PoW/PoS,30711550.5294042,200000000
eBoost,Scrypt,PoW,99990001.493466,100000000
KekCoin,POS 2.0,PoS,12330806.30517,21000000
BlackholeCoin,Scrypt,PoW/PoS,16362544.992,14788275.991
AltCommunity Coin,SkunkHash,PoW/PoS,0.0,5000000
Pure,X11,PoW/PoS,0.0,3686860
Rupaya,Quark,PoS,0.0,75000000
Infinity Economics,SHA-256,PoS,8999999990.0,9000000000
Pura,X11,PoW,175215859.0,350000000
Innova,NeoScrypt,PoW,6375259.04,45000000
Bitdeal,Scrypt,PoW,0.0,300000000
Ellaism,Ethash,PoW,12756367.0,280000000
Sakuracoin,Scrypt,PoW,0.0,105100000
GoByte,NeoScrypt,PoW,5832306.875,31800000
Castle,Quark,DPoS,0.0,50000000 
Magnet,X11,PoW/PoS,38198594.8342105,144000000
Lamden Tau,DPoS,DPoS,288090567.493887,500000000
Electra,NIST5,PoW/PoS,28399150208.0,30000000000
Bitcoin Diamond,X13,PoW/PoS,183534024.889807,210000000
SHIELD,Multiple,PoW,481730566.566176,660000000
Cash & Back Coin,Scrypt,PoW/PoS,110976977.29338,210000000
UltraNote,CryptoNight,PoW,19281821413.4924,85000000000
BitCoal,CryptoNight,PoW,4500000.0,12500000
DaxxCoin,Ethash,PoW,520891780.0,10000000000
Bulwark,NIST5,PoS,13247178.8807286,27716121
Kalkulus,Quark,PoS,16955764.902064,20000000
AC3,X11,PoW,80316207.0,550000000
CHIPS,SHA-256,PoW,0.0,21000000
Lethean,CryptoNight-V7,PoW,441250233.377,999481516
GermanCoin,Scrypt,PoW/PoS,4911500269.41,50000000000
LiteCoin Ultra,Scrypt,PoW/PoS,8419402.321,150000000
PopularCoin,Scrypt,PoW,3964201248.87125,4999999999
PhantomX,X11,PoW/PoS,45174214.1078625,50000000
HTML Coin,SHA-256,PoW/PoS,0.0,90000000000
Photon,BLAKE256,PoW,30089671530.5228, 90000000000
Sucre,X11,PoW,4229040.50393462,19800000
Fantasy Cash,Scrypt,PoW/PoS,0.0,4600000
SparksPay,NeoScrypt,PoW,7847417.33355824,21000000
Digiwage,Quark,PoS,27299680.0,120000000
GunCoin,NeoScrypt,PoW,299797953.0,500000000
IrishCoin,Scrypt,PoW,45483049.3398182,64000000
Trollcoin,Scrypt,PoW/PoS,591022748.0,900000000
Litecoin Plus,Scrypt,PoW/PoS,2504486.227718,4000000
Monkey Project,X11,PoS,4407252.0,21000000
Pioneer Coin,X11,PoW,8478104.33969947,23000000
UnitedBitcoin,SHA-256,PoW,20166000.0,20166000
Interzone,C11,PoW,11916588.09471,23000000
OP Coin,Scrypt,PoW/PoS,0.0,2000000000
Valorbit,Scrypt,PoW/PoS,0.0,92233720000000000
TokenPay,POS 3.0,PoS,20445861.5344251,25000000
1717 Masonic Commemorative Token,Ethash,PoS,1618033.0,1618033
My Big Coin,Scrypt,PoW and PoS,9399342.52839847,30000000
TurtleCoin,CryptoNight,PoW,53139835213.77,1000000000000
MUNcoin,SkunkHash,PoW,4818338.98949984,16600000
Unified Society USDEX,Scrypt,PoW/PoS,234846265.782157,232000000
Niobio Cash,CryptoNight,PoW,133932467.774108,336000000
Bitcoin Private,Equihash,PoW,0.0,21000000
Skeincoin,Skein,PoW,0.0,17000000
ShareChain,Scrypt,PoW,10000000000.0,10000000000
Travelflex,Dagger,PoW,107325266.027783,100000000
KREDS,Lyra2REv2,PoW,643795911.540095,1100000000
Tokyo Coin,X13,PoS,230298925.0,800000000
BiblePay,Proof-of-BibleHash,POBh,1772091549.88818,5200000000
LitecoinCash,SHA-256 + Hive,PoW + Hive,638382332.208514,840000000
